date	edits
2012-03-06	0
2012-03-16	0
2012-04-04	0
2012-05-02	0
2012-06-01	0
2012-07-01	0
2012-07-19	0
2012-08-01	0
2012-09-03	0
2012-10-01	0
2012-11-01	277282
2012-12-01	739463
2013-01-01	3004417
2013-01-15	4394605
2013-02-01	5622432
2013-02-14	6571138
2013-03-01	8566579
2013-03-28	16230567
2013-04-01	18200917
2013-04-25	31046033
2013-05-04	35037199
2013-05-29	48726285
2013-06-27	53560384
2013-08-15	67289779
2013-09-03	69920660
2013-10-01	75856816
2013-11-02	85554179
2013-12-01	93577968
2014-01-01	100445470
2014-01-29	109197986
2014-03-09	118653905
2014-04-09	123785772
2014-05-01	128627662
2014-06-23	144505252
2014-09-25	164090676
2014-12-23	182571317
2015-01-09	186439727
2015-03-03	200530996
2015-04-01	208039122
2015-05-04	213859909
2015-06-11	221731098
2015-07-12	229631849
2015-08-14	241198069
